5,"Rodent Exclosure"
24,"Rodent Exclosure"
3,"Long-term Krat Exclosure"
1,"Spectab exclosure"
20,"Short-term Krat Exclosure"
18,"Short-term Krat Exclosure"
8,"Control"
2,"Control"
17,"Control"
13,"Short-term Krat Exclosure"
11,"Control"
9,"Spectab exclosure"
16,"Rodent Exclosure"
10,"Rodent Exclosure"
7,"Rodent Exclosure"
22,"Control"
12,"Control"
4,"Control"
19,"Long-term Krat Exclosure"
15,"Long-term Krat Exclosure"
14,"Control"
6,"Short-term Krat Exclosure"
23,"Rodent Exclosure"
21,"Long-term Krat Exclosure"
