"CM","Calamospiza","melanocorys","Bird"
"SS","Spermophilus","spilosoma","Rodent"
"AH","Ammospermophilus","harrisi","Rodent"
"ST","Spermophilus","tereticaudus","Rodent"
"RF","Reithrodontomys","fulvescens","Rodent"
"PB","Chaetodipus","baileyi","Rodent"
"BA","Baiomys","taylori","Rodent"
"PG","Pooecetes","gramineus","Bird"
"CT","Cnemidophorus","tigris","Reptile"
"NX","Neotoma","sp.","Rodent"
"DS","Dipodomys","spectabilis","Rodent"
"EO","Eumeces","obsoletus","Reptile"
"SX","Sigmodon","sp.","Rodent"
"SF","Sigmodon","fulviventer","Rodent"
"UR","Rodent","sp.","Rodent"
"OX","Onychomys","sp.","Rodent"
"PX","Chaetodipus","sp.","Rodent"
"UL","Lizard","sp.","Reptile"
"PE","Peromyscus","eremicus","Rodent"
"AB","Amphispiza","bilineata","Bird"
"PM","Peromyscus","maniculatus","Rodent"
"CQ","Callipepla","squamata","Bird"
"OL","Onychomys","leucogaster","Rodent"
"PL","Peromyscus","leucopus","Rodent"
"CS","Crotalus","scutalatus","Reptile"
"SH","Sigmodon","hispidus","Rodent"
"PC","Pipilo","chlorurus","Bird"
"RO","Reithrodontomys","montanus","Rodent"
"PH","Perognathus","hispidus","Rodent"
"PP","Chaetodipus","penicillatus","Rodent"
"CV","Crotalus","viridis","Reptile"
"RX","Reithrodontomys","sp.","Rodent"
"GS","Gambelia","silus","Reptile"
"CU","Cnemidophorus","uniparens","Reptile"
"DO","Dipodomys","ordii","Rodent"
"RM","Reithrodontomys","megalotis","Rodent"
"PI","Chaetodipus","intermedius","Rodent"
"DX","Dipodomys","sp.","Rodent"
"PU","Pipilo","fuscus","Bird"
"SA","Sylvilagus","audubonii","Rabbit"
"ZM","Zenaida","macroura","Bird"
"ZL","Zonotrichia","leucophrys","Bird"
"DM","Dipodomys","merriami","Rodent"
"SB","Spizella","breweri","Bird"
"PF","Perognathus","flavus","Rodent"
"AS","Ammodramus","savannarum","Bird"
"OT","Onychomys","torridus","Rodent"
"NL","Neotoma","albigula","Rodent"
"UP","Pipilo","sp.","Bird"
"SO","Sigmodon","ochrognathus","Rodent"
"US","Sparrow","sp.","Bird"
"SU","Sceloporus","undulatus","Reptile"
"SC","Sceloporus","clarki","Reptile"
"CB","Campylorhynchus","brunneicapillus","Bird"
